,_id,id_str,full_tweet_text,screen_name,created_ts
94,5f834ed3aabcfe3ee19e5991,ID_1312947574496665600,"@wendy_mcroberts @MarieB6860 @JasonMillerinDC @JoeBiden A must read #Rage by @realBobWoodward 
#Americans vote in the memory of #RBG &amp; #JohnLewis 
#America do the right thing vote @JoeBiden @KamalaHarris 
@realDonaldTrump must be STOPPED
No #QAnons in #Congress 
#TrumpLied200KDied #TrumpHatesOurMilitary  #Trump is a #ClimateArsonist",TrishaMortimore,2020-10-05 02:47:49
95,5f834ed3aabcfe3ee19e5992,ID_1312010836974678018,Remember when Trump embraced QAnon believers and said they were just people that love America.,LivingBlueinRed,2020-10-02 12:45:34
96,5f834ed3aabcfe3ee19e5993,ID_1312420660086403073,@marcorubio @WhiteHouse Wish you would express that same sentiment to the far right who parrot QAnon theories instead of reciting Bible passages.,NewAbnormal19,2020-10-03 15:54:03
97,5f834ed3aabcfe3ee19e5994,ID_1312248581240356865,"@Ambellina77 @ditton_wilson @SeanCordanon @steveouttrim @nprpolitics Unfortunately, we have the Hysterical House and the Sleepy Senate, otherwise we'd get a resolution from the Republicans that gives thanks to everyone who participates in controversial online discussions. Not just QAnon, but Black Lives Matter, Me Too, etc. Maybe call Ted Cruz.",murph2020,2020-10-03 04:30:16
98,5f834ed3aabcfe3ee19e5995,ID_1312197921153007616,"@idiots_sick @Rae_209 @MrWolfy67713418 @tdickinson511 @CAnderson_30 @Ryanspeaks140 @AynRandPaulRyan @DeAnna4Congress My pleasure, Sick.😊  And one back for you.   I'm in a few regular threads where other long-time resisters enjoy sparring with feeble Republican trolls and QAnon nut jobs.👍",SmokeyStafford,2020-10-03 01:08:58
99,5f834ed3aabcfe3ee19e5996,ID_1312101144231993346,@JoyAnnReid Are you #QANONS ?,T_tothe2ndNGa,2020-10-02 18:44:25
100,5f834ed3aabcfe3ee19e5997,ID_1312119555129405440,"@justinamash QAnon hasn't looted, set police stations on fire or killed police officers. When will they vote to condemn Antifa?",stellasplace1,2020-10-02 19:57:34
101,5f834ed3aabcfe3ee19e5998,ID_1312117680984346624,"@ChadPergram Seems like a great use of their time. Their priorities are definitely in order. Nothing else going on in our country right now that demands their attention. Definitely need to vote to condemn QAnon. But Antifa, is an “idea”",Red17Tx,2020-10-02 19:50:07
102,5f834ed4aabcfe3ee19e5999,ID_1311499198274048000,"@robbaxter5 @ClareTyne @MarkRuffalo I thought they were only on Facebook, we have QAnon Machine Toting Barbie Alt Right in Canada as a member of parliment wonder if they know each other. 😂🤣😅",ChadeighL,2020-10-01 02:52:30
103,5f834ed4aabcfe3ee19e599a,ID_1311677729809534980,I have a QAnon-esque conspiracy theory about this website except instead of believing that half of you guys are lizard people I believe that half of you are illiterate,jake_bittle,2020-10-01 14:41:55
104,5f834ed4aabcfe3ee19e599b,ID_1312144652946960387,@LeeeLauren @ValiantThor12 Thankq.   I looked the number up and was surprised to actually find out what they meant. As far as 369,kim51568434,2020-10-02 21:37:18
105,5f834ed4aabcfe3ee19e599c,ID_1311529434537627648,"@MSNBC If the GOP is a true conservative party, that's fine but now it's a Trumpian QAnon bullsh*t org.",Royal_____Rebel,2020-10-01 04:52:38
106,5f834ed4aabcfe3ee19e599d,ID_1312178604642455553,Lets not forget #QanonArmy insisted that anyone in higher ranks who was diagnosed w/covid was actually secretly arrested for being part of a huge pedophile power-circle. Because covid is fake and this is the cover Trump was using to take down the pedo-cabal. How's that working?,JohnnyFirecloud,2020-10-02 23:52:13
107,5f834ed4aabcfe3ee19e599e,ID_1312338965236781056,"@FLOTUS 10 days! They will do it. God bless you and your family.
🙏🏻🇺🇸WWG1WGA",Liane07831136,2020-10-03 10:29:26
108,5f834ed4aabcfe3ee19e599f,ID_1312138793411960832,"Donny was getting too close to shutting down the pedos and demonrats for good, so the CIA got him with the Covid gun. When he “recovers” watch for glitches in the hologram #QAnon2020",krillyourtidal,2020-10-02 21:14:01
109,5f834ed4aabcfe3ee19e59a0,ID_1311473154741673995,"@sherism26348669 @jhdillman @Dan_Mercuri You're blind, rioting and looting happening equally in red states. Get off your high horse you Qanon nut. BLM gets high jacked by you racist right wing lunatics. White supremacy at an all time high. Antifa is idiology but sure, keep watching your brainwashing videos.",SchmallDowg,2020-10-01 01:09:00
110,5f834ed4aabcfe3ee19e59a1,ID_1311984909863378948,@RationalDis Qanon suspects it's possibly from atheist hope hicks,R_tron1,2020-10-02 11:02:32
111,5f834ed4aabcfe3ee19e59a2,ID_1312074426800898053,@LewisForMN just went full QANON. We don't need more of the tinfoil hat brigade in power.,the_tweetle,2020-10-02 16:58:15
112,5f834ed4aabcfe3ee19e59a3,ID_1312149792844177408,@EricTrump @realDonaldTrump Our prayers are with your family.   WWG1WGA,LeahHermann,2020-10-02 21:57:43
113,5f834ed4aabcfe3ee19e59a4,ID_1312603393764982784,@IvankaTrump Yes he is .... and we love him for it ❤️ WWG1WGA 🙏🏻✝️🙏🏻,chandraestupin1,2020-10-04 04:00:10
